	time (s)     A(t) 		SEM 10 traj
   6.4600000e-03   2.8520000e+02   3.7440323e+00
   6.4800000e-03   2.8480000e+02   3.5708698e+00
   6.5000000e-03   2.8450000e+02   3.5722697e+00
   6.5200000e-03   2.8410000e+02   3.3147817e+00
   6.5400000e-03   2.8380000e+02   3.4762688e+00
   6.5600000e-03   2.8360000e+02   3.6823905e+00
   6.5800000e-03   2.8340000e+02   3.6763508e+00
   6.6000000e-03   2.8350000e+02   3.7660766e+00
   6.6200000e-03   2.8340000e+02   3.7392810e+00
   6.6400000e-03   2.8280000e+02   3.7558843e+00
   6.6600000e-03   2.8290000e+02   3.6223074e+00
   6.6800000e-03   2.8210000e+02   3.5791060e+00
   6.7000000e-03   2.8130000e+02   3.7209616e+00
   6.7200000e-03   2.8120000e+02   3.6992492e+00
   6.7400000e-03   2.8030000e+02   3.6698471e+00
   6.7600000e-03   2.8070000e+02   3.7654865e+00
   6.7800000e-03   2.8090000e+02   3.5884073e+00
   6.8000000e-03   2.8060000e+02   3.7214095e+00
   6.8200000e-03   2.8130000e+02   3.5840697e+00
   6.8400000e-03   2.8120000e+02   3.7142369e+00
   6.8600000e-03   2.8140000e+02   3.8964371e+00
   6.8800000e-03   2.8050000e+02   3.9306488e+00
   6.9000000e-03   2.8010000e+02   3.7370517e+00
   6.9200000e-03   2.8030000e+02   3.7179744e+00
   6.9400000e-03   2.8040000e+02   3.9754804e+00
   6.9600000e-03   2.8060000e+02   3.8620662e+00
   6.9800000e-03   2.8050000e+02   4.0448870e+00
   7.0000000e-03   2.8050000e+02   4.0831633e+00
   7.0200000e-03   2.8000000e+02   4.0496913e+00
   7.0400000e-03   2.8080000e+02   3.9038443e+00
   7.0600000e-03   2.8090000e+02   3.9170567e+00
   7.0800000e-03   2.8130000e+02   3.9470101e+00
   7.1000000e-03   2.8160000e+02   3.8447656e+00
   7.1200000e-03   2.8120000e+02   3.9095325e+00
   7.1400000e-03   2.8110000e+02   4.0178767e+00
   7.1600000e-03   2.8080000e+02   4.1090686e+00
   7.1800000e-03   2.8090000e+02   4.1000000e+00
   7.2000000e-03   2.8040000e+02   4.0721275e+00
   7.2200000e-03   2.7990000e+02   4.1081220e+00
   7.2400000e-03   2.7970000e+02   4.0333333e+00
   7.2600000e-03   2.7940000e+02   4.0721275e+00
   7.2800000e-03   2.7960000e+02   3.9305075e+00
   7.3000000e-03   2.7910000e+02   3.7191696e+00
   7.3200000e-03   2.7930000e+02   3.7890192e+00
   7.3400000e-03   2.7890000e+02   3.8942978e+00
   7.3600000e-03   2.7930000e+02   3.6789189e+00
   7.3800000e-03   2.7930000e+02   3.5309741e+00
   7.4000000e-03   2.7870000e+02   3.5088776e+00
   7.4200000e-03   2.7810000e+02   3.3414900e+00
   7.4400000e-03   2.7750000e+02   3.4423829e+00
   7.4600000e-03   2.7730000e+02   3.4190642e+00
   7.4800000e-03   2.7710000e+02   3.3613820e+00
   7.5000000e-03   2.7650000e+02   3.4359214e+00
   7.5200000e-03   2.7700000e+02   3.5808131e+00
   7.5400000e-03   2.7740000e+02   3.3273279e+00
   7.5600000e-03   2.7700000e+02   3.3598942e+00
   7.5800000e-03   2.7610000e+02   3.2844753e+00
   7.6000000e-03   2.7630000e+02   3.4287996e+00
   7.6200000e-03   2.7590000e+02   3.2844753e+00
   7.6400000e-03   2.7550000e+02   3.2360813e+00
   7.6600000e-03   2.7550000e+02   3.2600273e+00
   7.6800000e-03   2.7570000e+02   3.3000000e+00
   7.7000000e-03   2.7520000e+02   3.3193038e+00
   7.7200000e-03   2.7500000e+02   3.5777088e+00
   7.7400000e-03   2.7470000e+02   3.5591822e+00
   7.7600000e-03   2.7460000e+02   3.5596504e+00
   7.7800000e-03   2.7520000e+02   3.6721172e+00
   7.8000000e-03   2.7550000e+02   3.8391261e+00
   7.8200000e-03   2.7570000e+02   3.7179744e+00
   7.8400000e-03   2.7520000e+02   3.5832946e+00
   7.8600000e-03   2.7540000e+02   3.6672727e+00
   7.8800000e-03   2.7610000e+02   3.6161674e+00
   7.9000000e-03   2.7610000e+02   3.6558933e+00
   7.9200000e-03   2.7630000e+02   3.5964489e+00
   7.9400000e-03   2.7630000e+02   3.5404017e+00
   7.9600000e-03   2.7580000e+02   3.4762688e+00
   7.9800000e-03   2.7570000e+02   3.2181775e+00
   8.0000000e-03   2.7560000e+02   3.4097898e+00
   8.0200000e-03   2.7540000e+02   3.2903900e+00
   8.0400000e-03   2.7510000e+02   3.4751499e+00
   8.0600000e-03   2.7470000e+02   3.2898835e+00
   8.0800000e-03   2.7410000e+02   3.3314995e+00
   8.1000000e-03   2.7430000e+02   3.4449641e+00
   8.1200000e-03   2.7420000e+02   3.2345359e+00
   8.1400000e-03   2.7510000e+02   3.5133080e+00
   8.1600000e-03   2.7460000e+02   3.6153992e+00
   8.1800000e-03   2.7460000e+02   3.5721142e+00
   8.2000000e-03   2.7440000e+02   3.5658878e+00
   8.2200000e-03   2.7450000e+02   3.7660766e+00
   8.2400000e-03   2.7390000e+02   3.6130935e+00
   8.2600000e-03   2.7430000e+02   3.4352745e+00
   8.2800000e-03   2.7420000e+02   3.5925850e+00
   8.3000000e-03   2.7450000e+02   3.7334821e+00
   8.3200000e-03   2.7420000e+02   3.6539172e+00
   8.3400000e-03   2.7350000e+02   3.5316034e+00
   8.3600000e-03   2.7360000e+02   3.4032664e+00
   8.3800000e-03   2.7230000e+02   3.3268270e+00
   8.4000000e-03   2.7240000e+02   3.1026870e+00
   8.4200000e-03   2.7200000e+02   3.1446604e+00
   8.4400000e-03   2.7190000e+02   3.1778749e+00
   8.4600000e-03   2.7150000e+02   3.6186247e+00
   8.4800000e-03   2.7150000e+02   3.7155828e+00
   8.5000000e-03   2.7110000e+02   3.6921839e+00
   8.5200000e-03   2.7110000e+02   3.4623370e+00
   8.5400000e-03   2.7080000e+02   3.7022516e+00
   8.5600000e-03   2.7040000e+02   3.5219944e+00
   8.5800000e-03   2.7080000e+02   3.5144148e+00
