	time (s)	A(t)		SEM for 10 traj
   1.0150000e-02   8.9200000e+01   1.0088497e+00
   1.0200000e-02   8.9000000e+01   1.0645813e+00
   1.0250000e-02   8.9000000e+01   1.0645813e+00
   1.0300000e-02   8.8900000e+01   1.1396881e+00
   1.0350000e-02   8.8800000e+01   1.2183778e+00
   1.0400000e-02   8.8800000e+01   1.2183778e+00
   1.0450000e-02   8.8600000e+01   1.2927146e+00
   1.0500000e-02   8.8600000e+01   1.2927146e+00
   1.0550000e-02   8.8400000e+01   1.2840907e+00
   1.0600000e-02   8.8300000e+01   1.2827921e+00
   1.0650000e-02   8.8300000e+01   1.2827921e+00
   1.0700000e-02   8.8200000e+01   1.2892720e+00
   1.0750000e-02   8.8200000e+01   1.2892720e+00
   1.0800000e-02   8.8000000e+01   1.2995726e+00
   1.0850000e-02   8.7900000e+01   1.2775845e+00
   1.0900000e-02   8.7900000e+01   1.1967549e+00
   1.0950000e-02   8.7800000e+01   1.2000000e+00
   1.1000000e-02   8.7700000e+01   1.2115188e+00
   1.1050000e-02   8.7700000e+01   1.2115188e+00
   1.1100000e-02   8.7500000e+01   1.2133516e+00
   1.1150000e-02   8.7400000e+01   1.2036980e+00
   1.1200000e-02   8.7200000e+01   1.2000000e+00
   1.1250000e-02   8.7000000e+01   1.2110601e+00
   1.1300000e-02   8.7000000e+01   1.2110601e+00
   1.1350000e-02   8.7000000e+01   1.2110601e+00
   1.1400000e-02   8.6600000e+01   1.2036980e+00
   1.1450000e-02   8.6400000e+01   1.2128937e+00
   1.1500000e-02   8.6300000e+01   1.2297244e+00
   1.1550000e-02   8.6300000e+01   1.2297244e+00
   1.1600000e-02   8.6300000e+01   1.2297244e+00
   1.1650000e-02   8.6200000e+01   1.2092238e+00
   1.1700000e-02   8.6200000e+01   1.2092238e+00
   1.1750000e-02   8.6200000e+01   1.2092238e+00
   1.1800000e-02   8.6100000e+01   1.2333333e+00
   1.1850000e-02   8.6000000e+01   1.2649111e+00
   1.1900000e-02   8.5800000e+01   1.2806248e+00
   1.1950000e-02   8.5800000e+01   1.2806248e+00
   1.2000000e-02   8.5600000e+01   1.2036980e+00
   1.2050000e-02   8.5600000e+01   1.2666667e+00
   1.2100000e-02   8.5600000e+01   1.2666667e+00
   1.2150000e-02   8.5600000e+01   1.2666667e+00
   1.2200000e-02   8.5500000e+01   1.2583057e+00
   1.2250000e-02   8.5400000e+01   1.2578642e+00
   1.2300000e-02   8.5300000e+01   1.3000000e+00
   1.2350000e-02   8.5000000e+01   1.2560962e+00
   1.2400000e-02   8.4900000e+01   1.1967549e+00
   1.2450000e-02   8.4900000e+01   1.1967549e+00
   1.2500000e-02   8.5000000e+01   1.2292726e+00
   1.2550000e-02   8.5000000e+01   1.2292726e+00
   1.2600000e-02   8.5000000e+01   1.2292726e+00
   1.2650000e-02   8.4900000e+01   1.2242912e+00
   1.2700000e-02   8.4900000e+01   1.2242912e+00
   1.2750000e-02   8.4700000e+01   1.2297244e+00
   1.2800000e-02   8.4700000e+01   1.2297244e+00
   1.2850000e-02   8.4600000e+01   1.2220202e+00
   1.2900000e-02   8.4500000e+01   1.2224747e+00
   1.2950000e-02   8.4400000e+01   1.2310790e+00
   1.3000000e-02   8.4400000e+01   1.2310790e+00
   1.3050000e-02   8.4400000e+01   1.2310790e+00
   1.3100000e-02   8.4500000e+01   1.1761519e+00
   1.3150000e-02   8.4400000e+01   1.1944315e+00
   1.3200000e-02   8.4400000e+01   1.1274356e+00
   1.3250000e-02   8.4400000e+01   1.1274356e+00
   1.3300000e-02   8.4500000e+01   1.1377365e+00
   1.3350000e-02   8.4200000e+01   1.1623731e+00
   1.3400000e-02   8.3800000e+01   1.2454361e+00
   1.3450000e-02   8.3800000e+01   1.2454361e+00
   1.3500000e-02   8.3700000e+01   1.2565385e+00
   1.3550000e-02   8.3700000e+01   1.2565385e+00
   1.3600000e-02   8.3600000e+01   1.2578642e+00
   1.3650000e-02   8.3500000e+01   1.2671052e+00
   1.3700000e-02   8.3300000e+01   1.2827921e+00
   1.3750000e-02   8.3300000e+01   1.2827921e+00
   1.3800000e-02   8.3200000e+01   1.3063945e+00
   1.3850000e-02   8.3200000e+01   1.3063945e+00
   1.3900000e-02   8.3100000e+01   1.3034143e+00
   1.3950000e-02   8.2900000e+01   1.2862521e+00
   1.4000000e-02   8.2800000e+01   1.2274635e+00
   1.4050000e-02   8.2700000e+01   1.2206556e+00
   1.4100000e-02   8.2600000e+01   1.1756795e+00
   1.4150000e-02   8.2500000e+01   1.2041595e+00
   1.4200000e-02   8.2100000e+01   1.1780398e+00
   1.4250000e-02   8.2000000e+01   1.2202003e+00
   1.4300000e-02   8.1800000e+01   1.2719189e+00
   1.4350000e-02   8.1500000e+01   1.2405196e+00
   1.4400000e-02   8.1500000e+01   1.2405196e+00
   1.4450000e-02   8.1500000e+01   1.2405196e+00
   1.4500000e-02   8.1400000e+01   1.2310790e+00
   1.4550000e-02   8.1400000e+01   1.2310790e+00
   1.4600000e-02   8.1400000e+01   1.2310790e+00
   1.4650000e-02   8.1400000e+01   1.2310790e+00
   1.4700000e-02   8.1400000e+01   1.2310790e+00
   1.4750000e-02   8.1300000e+01   1.1930353e+00
   1.4800000e-02   8.1200000e+01   1.1623731e+00
   1.4850000e-02   8.0900000e+01   1.2242912e+00
   1.4900000e-02   8.0500000e+01   1.1571037e+00
   1.4950000e-02   8.0500000e+01   1.1571037e+00
   1.5000000e-02   8.0500000e+01   1.1571037e+00
   1.5050000e-02   8.0500000e+01   1.1571037e+00
   1.5100000e-02   8.0500000e+01   1.1571037e+00
   1.5150000e-02   8.0500000e+01   1.1571037e+00
   1.5200000e-02   8.0500000e+01   1.1571037e+00
   1.5250000e-02   8.0300000e+01   1.1836854e+00
   1.5300000e-02   8.0000000e+01   1.1254629e+00
   1.5350000e-02   8.0000000e+01   1.1254629e+00
   1.5400000e-02   8.0100000e+01   1.1685699e+00
   1.5450000e-02   8.0100000e+01   1.1685699e+00
   1.5500000e-02   8.0300000e+01   1.1647603e+00
   1.5550000e-02   8.0300000e+01   1.1647603e+00
   1.5600000e-02   8.0400000e+01   1.1372481e+00
   1.5650000e-02   8.0400000e+01   1.0770330e+00
   1.5700000e-02   8.0500000e+01   1.1474610e+00
   1.5750000e-02   8.0200000e+01   1.1430952e+00
   1.5800000e-02   8.0200000e+01   1.1430952e+00
   1.5850000e-02   8.0500000e+01   1.0775487e+00
   1.5900000e-02   8.0400000e+01   1.0974718e+00
   1.5950000e-02   8.0300000e+01   1.1160446e+00
   1.6000000e-02   8.0200000e+01   1.0413666e+00
   1.6050000e-02   8.0100000e+01   9.7125349e-01
   1.6100000e-02   8.0000000e+01   9.8882646e-01
   1.6150000e-02   7.9900000e+01   1.0159834e+00
   1.6200000e-02   7.9800000e+01   1.0519823e+00
   1.6250000e-02   7.9800000e+01   1.0519823e+00
   1.6300000e-02   7.9800000e+01   1.0519823e+00
   1.6350000e-02   7.9800000e+01   1.0519823e+00
   1.6400000e-02   7.9900000e+01   1.0376255e+00
   1.6450000e-02   7.9900000e+01   1.0376255e+00
   1.6500000e-02   7.9800000e+01   1.0624918e+00
   1.6550000e-02   7.9800000e+01   1.0624918e+00
   1.6600000e-02   7.9700000e+01   1.0005554e+00
   1.6650000e-02   7.9700000e+01   1.0005554e+00
   1.6700000e-02   7.9500000e+01   1.0137938e+00
   1.6750000e-02   7.9500000e+01   1.0137938e+00
   1.6800000e-02   7.9500000e+01   1.0137938e+00
   1.6850000e-02   7.9400000e+01   1.0022198e+00
   1.6900000e-02   7.9300000e+01   1.0115994e+00
   1.6950000e-02   7.8900000e+01   1.0049876e+00
   1.7000000e-02   7.8900000e+01   1.0049876e+00
   1.7050000e-02   7.8800000e+01   1.0198039e+00
   1.7100000e-02   7.8800000e+01   1.0198039e+00
   1.7150000e-02   7.8900000e+01   1.0268615e+00
   1.7200000e-02   7.8900000e+01   1.0268615e+00
   1.7250000e-02   7.8800000e+01   9.7524926e-01
   1.7300000e-02   7.9000000e+01   9.4280904e-01
   1.7350000e-02   7.8900000e+01   9.7125349e-01
   1.7400000e-02   7.8800000e+01   9.9777530e-01
   1.7450000e-02   7.8600000e+01   1.0022198e+00
   1.7500000e-02   7.8400000e+01   9.6838927e-01
   1.7550000e-02   7.8400000e+01   9.6838927e-01
   1.7600000e-02   7.8300000e+01   9.4339811e-01
   1.7650000e-02   7.8200000e+01   9.5219046e-01
   1.7700000e-02   7.8100000e+01   9.8262686e-01
   1.7750000e-02   7.8100000e+01   9.8262686e-01
   1.7800000e-02   7.8000000e+01   1.0000000e+00
   1.7850000e-02   7.8100000e+01   1.0268615e+00
   1.7900000e-02   7.8000000e+01   1.0327956e+00
   1.7950000e-02   7.8000000e+01   1.0327956e+00
   1.8000000e-02   7.8000000e+01   1.0327956e+00
   1.8050000e-02   7.8000000e+01   1.0327956e+00
   1.8100000e-02   7.7700000e+01   1.1259564e+00
   1.8150000e-02   7.7700000e+01   1.1259564e+00
   1.8200000e-02   7.7800000e+01   1.0934146e+00
   1.8250000e-02   7.7600000e+01   1.1175370e+00
   1.8300000e-02   7.7400000e+01   1.1566234e+00
   1.8350000e-02   7.7300000e+01   1.1647603e+00
   1.8400000e-02   7.7000000e+01   1.2110601e+00
   1.8450000e-02   7.6900000e+01   1.1685699e+00
   1.8500000e-02   7.6500000e+01   1.2583057e+00
   1.8550000e-02   7.6300000e+01   1.2565385e+00
   1.8600000e-02   7.6300000e+01   1.2565385e+00
   1.8650000e-02   7.6200000e+01   1.2454361e+00
   1.8700000e-02   7.6200000e+01   1.2454361e+00
   1.8750000e-02   7.6100000e+01   1.1780398e+00
   1.8800000e-02   7.6100000e+01   1.1780398e+00
   1.8850000e-02   7.6100000e+01   1.1780398e+00
   1.8900000e-02   7.6100000e+01   1.1493960e+00
   1.8950000e-02   7.6100000e+01   1.1493960e+00
   1.9000000e-02   7.6000000e+01   1.1450376e+00
   1.9050000e-02   7.6000000e+01   1.1450376e+00
   1.9100000e-02   7.6000000e+01   1.1450376e+00
   1.9150000e-02   7.6000000e+01   1.1450376e+00
   1.9200000e-02   7.6000000e+01   1.1450376e+00
   1.9250000e-02   7.6100000e+01   1.1298968e+00
   1.9300000e-02   7.6000000e+01   1.1925696e+00
   1.9350000e-02   7.5900000e+01   1.1298968e+00
   1.9400000e-02   7.5800000e+01   1.1430952e+00
   1.9450000e-02   7.5600000e+01   1.0770330e+00
   1.9500000e-02   7.5600000e+01   1.0770330e+00
   1.9550000e-02   7.5400000e+01   1.0241528e+00
   1.9600000e-02   7.5400000e+01   1.0241528e+00
   1.9650000e-02   7.5400000e+01   1.0241528e+00
   1.9700000e-02   7.5300000e+01   1.0440307e+00
   1.9750000e-02   7.5300000e+01   1.0440307e+00
   1.9800000e-02   7.5300000e+01   1.0440307e+00
   1.9850000e-02   7.5300000e+01   1.0005554e+00
   1.9900000e-02   7.5400000e+01   1.0132456e+00
   1.9950000e-02   7.5300000e+01   1.0005554e+00
   2.0000000e-02   7.5200000e+01   1.0728985e+00
   2.0050000e-02   7.4800000e+01   1.0306417e+00
   2.0100000e-02   7.4800000e+01   1.0306417e+00
   2.0150000e-02   7.4700000e+01   1.0225241e+00
   2.0200000e-02   7.4500000e+01   1.0567245e+00
   2.0250000e-02   7.4500000e+01   1.0567245e+00
   2.0300000e-02   7.4700000e+01   1.0333333e+00
   2.0350000e-02   7.4600000e+01   1.0561986e+00
   2.0400000e-02   7.4600000e+01   1.0456258e+00
   2.0450000e-02   7.4500000e+01   1.0567245e+00
   2.0500000e-02   7.4500000e+01   1.0567245e+00
   2.0550000e-02   7.4500000e+01   1.0567245e+00
   2.0600000e-02   7.4500000e+01   1.0567245e+00
   2.0650000e-02   7.4500000e+01   1.0567245e+00
   2.0700000e-02   7.4500000e+01   1.0567245e+00
   2.0750000e-02   7.4500000e+01   1.0567245e+00
   2.0800000e-02   7.4500000e+01   1.0567245e+00
   2.0850000e-02   7.4500000e+01   1.0567245e+00
   2.0900000e-02   7.4500000e+01   1.0567245e+00
   2.0950000e-02   7.4500000e+01   1.0567245e+00
   2.1000000e-02   7.4300000e+01   1.0651030e+00
   2.1050000e-02   7.4300000e+01   1.0651030e+00
   2.1100000e-02   7.4100000e+01   1.0796090e+00
   2.1150000e-02   7.4300000e+01   1.0651030e+00
   2.1200000e-02   7.4200000e+01   1.0306417e+00
   2.1250000e-02   7.4300000e+01   1.0005554e+00
   2.1300000e-02   7.4300000e+01   9.7809338e-01
   2.1350000e-02   7.4300000e+01   9.7809338e-01
   2.1400000e-02   7.4200000e+01   9.1651514e-01
   2.1450000e-02   7.4200000e+01   9.1651514e-01
   2.1500000e-02   7.4100000e+01   9.3630479e-01
   2.1550000e-02   7.4000000e+01   9.4280904e-01
   2.1600000e-02   7.4000000e+01   9.4280904e-01
   2.1650000e-02   7.3900000e+01   8.8756846e-01
   2.1700000e-02   7.3900000e+01   8.8756846e-01
   2.1750000e-02   7.3700000e+01   9.7809338e-01
   2.1800000e-02   7.3700000e+01   9.7809338e-01
   2.1850000e-02   7.3600000e+01   1.0022198e+00
   2.1900000e-02   7.3600000e+01   1.0022198e+00
   2.1950000e-02   7.3300000e+01   1.0754844e+00
   2.2000000e-02   7.3200000e+01   1.0519823e+00
   2.2050000e-02   7.3100000e+01   1.1298968e+00
   2.2100000e-02   7.3100000e+01   1.1298968e+00
   2.2150000e-02   7.3000000e+01   1.0852547e+00
   2.2200000e-02   7.2900000e+01   1.0482790e+00
   2.2250000e-02   7.3000000e+01   9.6609178e-01
   2.2300000e-02   7.2900000e+01   9.2436164e-01
   2.2350000e-02   7.2800000e+01   8.9193921e-01
   2.2400000e-02   7.2600000e+01   8.5893992e-01
   2.2450000e-02   7.2600000e+01   8.5893992e-01
   2.2500000e-02   7.2600000e+01   8.5893992e-01
   2.2550000e-02   7.2600000e+01   8.5893992e-01
   2.2600000e-02   7.2700000e+01   8.4393259e-01
   2.2650000e-02   7.2500000e+01   8.1989159e-01
   2.2700000e-02   7.2400000e+01   8.1921372e-01
   2.2750000e-02   7.2400000e+01   8.1921372e-01
   2.2800000e-02   7.2400000e+01   8.1921372e-01
   2.2850000e-02   7.2400000e+01   8.1921372e-01
