     time (us)      	MABM		AB		AM		BM		A		B		ABM		M
   7.8000000e+03   7.2916667e-01   2.5000000e-01   3.6479167e+01   3.5229167e+01   6.2754167e+02   6.2879167e+02   0.0000000e+00   3.6818333e+03
   7.9000000e+03   7.2916667e-01   2.7083333e-01   3.6770833e+01   3.5666667e+01   6.2722917e+02   6.2833333e+02   0.0000000e+00   3.6811042e+03
   8.0000000e+03   7.5000000e-01   2.7083333e-01   3.7166667e+01   3.6000000e+01   6.2681250e+02   6.2797917e+02   0.0000000e+00   3.6803333e+03
   8.1000000e+03   7.9166667e-01   2.7083333e-01   3.7479167e+01   3.6458333e+01   6.2645833e+02   6.2747917e+02   0.0000000e+00   3.6794792e+03
   8.2000000e+03   7.9166667e-01   2.7083333e-01   3.7770833e+01   3.6875000e+01   6.2616667e+02   6.2706250e+02   0.0000000e+00   3.6787708e+03
   8.3000000e+03   8.1250000e-01   2.7083333e-01   3.8166667e+01   3.7187500e+01   6.2575000e+02   6.2672917e+02   0.0000000e+00   3.6780208e+03
   8.4000000e+03   8.5416667e-01   2.7083333e-01   3.8562500e+01   3.7520833e+01   6.2531250e+02   6.2635417e+02   0.0000000e+00   3.6772083e+03
   8.5000000e+03   9.1666667e-01   2.7083333e-01   3.8895833e+01   3.7833333e+01   6.2491667e+02   6.2597917e+02   0.0000000e+00   3.6764375e+03
   8.6000000e+03   9.1666667e-01   2.7083333e-01   3.9354167e+01   3.8291667e+01   6.2445833e+02   6.2552083e+02   0.0000000e+00   3.6755208e+03
   8.7000000e+03   9.3750000e-01   2.7083333e-01   3.9750000e+01   3.8687500e+01   6.2404167e+02   6.2510417e+02   0.0000000e+00   3.6746875e+03
   8.8000000e+03   9.7916667e-01   2.7083333e-01   4.0187500e+01   3.9250000e+01   6.2356250e+02   6.2450000e+02   0.0000000e+00   3.6736042e+03
   8.9000000e+03   1.0000000e+00   2.7083333e-01   4.0604167e+01   3.9562500e+01   6.2312500e+02   6.2416667e+02   0.0000000e+00   3.6728333e+03
   9.0000000e+03   1.0208333e+00   2.5000000e-01   4.1020833e+01   3.9812500e+01   6.2270833e+02   6.2391667e+02   0.0000000e+00   3.6721250e+03
