	time (s)	A		B		M		AM		BM		MAB		ABM		AB		MABM
   8.9516647e-04   9.4212462e+01   9.4212462e+01   3.7435143e+03   5.7842752e+00   5.7842752e+00   1.8377650e-05   1.8377650e-05   3.5280385e-03   2.0116101e-03
   9.1605985e-04   9.4065239e+01   9.4065239e+01   3.7432200e+03   5.9312660e+00   5.9312660e+00   1.8833930e-05   1.8833930e-05   3.6093443e-03   2.1617400e-03
   9.3744088e-04   9.3914829e+01   9.3914829e+01   3.7429193e+03   6.0814294e+00   6.0814294e+00   1.9298579e-05   1.9298579e-05   3.6920074e-03   2.3243566e-03
   9.5932095e-04   9.3761171e+01   9.3761171e+01   3.7426122e+03   6.2348273e+00   6.2348273e+00   1.9771683e-05   1.9771683e-05   3.7760341e-03   2.5001756e-03
   9.8171170e-04   9.3604199e+01   9.3604199e+01   3.7422984e+03   6.3915223e+00   6.3915223e+00   2.0253328e-05   2.0253328e-05   3.8614292e-03   2.6899494e-03
   1.0046251e-03   9.3443851e+01   9.3443851e+01   3.7419779e+03   6.5515780e+00   6.5515780e+00   2.0743595e-05   2.0743595e-05   3.9481970e-03   2.8944688e-03
   1.0280732e-03   9.3280061e+01   9.3280061e+01   3.7416505e+03   6.7150588e+00   6.7150588e+00   2.1242561e-05   2.1242561e-05   4.0363400e-03   3.1145653e-03
   1.0520687e-03   9.3112763e+01   9.3112763e+01   3.7413161e+03   6.8820301e+00   6.8820301e+00   2.1750300e-05   2.1750300e-05   4.1258596e-03   3.3511126e-03
   1.0766242e-03   9.2941889e+01   9.2941889e+01   3.7409745e+03   7.0525580e+00   7.0525580e+00   2.2266881e-05   2.2266881e-05   4.2167559e-03   3.6050289e-03
   1.1017528e-03   9.2767372e+01   9.2767372e+01   3.7406257e+03   7.2267093e+00   7.2267093e+00   2.2792367e-05   2.2792367e-05   4.3090273e-03   3.8772792e-03
