	time (us)      MABM               AB           AM              BM               A              B                 ABM           M           
   1.0600000e+04   1.5625000e+00   0.0000000e+00   4.3281250e+01   4.4390625e+01   5.5156250e+01   5.4046875e+01   0.0000000e+00   3.6642031e+03
   1.0700000e+04   1.6406250e+00   0.0000000e+00   4.3468750e+01   4.4625000e+01   5.4890625e+01   5.3734375e+01   0.0000000e+00   3.6636250e+03
   1.0800000e+04   1.7031250e+00   0.0000000e+00   4.3765625e+01   4.4843750e+01   5.4531250e+01   5.3453125e+01   0.0000000e+00   3.6629844e+03
   1.0900000e+04   1.7343750e+00   0.0000000e+00   4.4062500e+01   4.5156250e+01   5.4203125e+01   5.3109375e+01   0.0000000e+00   3.6623125e+03
   1.1000000e+04   1.7500000e+00   0.0000000e+00   4.4281250e+01   4.5375000e+01   5.3968750e+01   5.2875000e+01   0.0000000e+00   3.6618438e+03
   1.1100000e+04   1.7656250e+00   0.0000000e+00   4.4484375e+01   4.5703125e+01   5.3750000e+01   5.2531250e+01   0.0000000e+00   3.6612812e+03
   1.1200000e+04   1.8125000e+00   0.0000000e+00   4.4765625e+01   4.5937500e+01   5.3421875e+01   5.2250000e+01   0.0000000e+00   3.6606719e+03
   1.1300000e+04   1.8437500e+00   0.0000000e+00   4.5140625e+01   4.6218750e+01   5.3015625e+01   5.1937500e+01   0.0000000e+00   3.6599531e+03
   1.1400000e+04   1.9062500e+00   0.0000000e+00   4.5468750e+01   4.6437500e+01   5.2625000e+01   5.1656250e+01   0.0000000e+00   3.6592812e+03
   1.1500000e+04   1.9062500e+00   0.0000000e+00   4.5812500e+01   4.6609375e+01   5.2281250e+01   5.1484375e+01   0.0000000e+00   3.6587656e+03
   1.1600000e+04   1.9687500e+00   0.0000000e+00   4.6000000e+01   4.6734375e+01   5.2031250e+01   5.1296875e+01   0.0000000e+00   3.6583281e+03
   1.1700000e+04   2.0468750e+00   0.0000000e+00   4.6250000e+01   4.6828125e+01   5.1703125e+01   5.1125000e+01   0.0000000e+00   3.6578281e+03
